grb,time _ut_,trigger number,bat ra _j2000_,bat dec _j2000_,bat 90_ error radius _arcmin_,bat t90 _sec_,bat fluence _15_150 kev_ _10__7 erg_cm_2_,bat fluence 90_ error _15_150 kev_ _10__7 erg_cm_2_,bat 1_sec peak photon flux _15_150 kev_ _ph_cm_2_sec_,bat 1_sec peak photon flux 90_ error _15_150 kev_ _ph_cm_2_sec_,bat photon index _15_150 kev_ _pl _ simple power_law_ cpl _ cutoff power_law_,bat photon index 90_ error _15_150 kev_,hardness ratio,epeak,satellite_source,grb_class
230506B,12:45:18,1167266,326.986,44.514,1.2,61.54,29,2.0,4.6,0.4,"1.41, PL",0.11,0.5681886,0.0,Swift BAT,
230427A,10:31:52,1165948,153.339,48.231,3.3,4.00,0.95,0.29,0.7,0.2,"2.36, PL",0.47,0.18725011,0.0,Swift BAT,
230423A,19:07:55,1165354,122.618,-21.901,2.3,23.60,4.6,0.8,0.6,0.2,"1.69, PL",0.27,0.41035467,0.0,Swift BAT,
230420A,10:19:01,1164980,161.04,32.111,1.5,111.75,27,2.0,1.0,0.2,"0.96, CPL",0.46,0.95547813,296.0,Swift BAT,
230414B,16:14:21,1164180,181.052,53.179,2.4,25.98,4.7,1.0,0.6,0.2,"1.60, PL",0.30,0.45567983,0.0,Swift BAT,
230409B,04:56:57,1163401,329.516,52.832,1.7,9.79,9.9,1.2,3.7,0.5,"1.86, PL",0.19,0.33653703,0.0,Swift BAT,
230328B,14:54:48,1162001,291.037,80.013,1.0,19.23,43,2.0,8.4,0.5,"1.22, CPL",0.29,0.7079711,322.0,Swift BAT,
230325A,03:15:35,1161390,296.854,-46.067,1.5,38.05,13,2.0,3.3,0.4,"1.82, PL",0.18,0.35262975,0.0,Swift BAT,
230322B,21:10:37,1161127,16.55,-47.709,1.7,11.61,3.7,0.6,1.1,0.2,"2.07, PL",0.26,0.26322344,0.0,Swift BAT,
230228A,05:50:50,1156572,18.397,44.495,1.5,2.18,3.6,0.4,3.0,0.4,"1.66, PL",0.17,0.42494592,0.0,Swift BAT,
230217A,21:53:10,1154967,280.759,-28.84,1.3,1.30,23,2.0,20.2,1.5,"0.99, PL",0.12,0.92305446,0.0,Swift BAT,
230216A,14:48:34,1154815,113.966,-7.993,2.1,91.20,13,2.0,1.2,0.3,"1.90, PL",0.23,0.3211693,0.0,Swift BAT,
230205A,10:29:51,1152764,202.057,46.686,2.3,2.30,1.6,0.3,0.9,0.2,"1.44, PL",0.29,0.5487588,0.0,Swift BAT,
230204A,02:56:57,1152509,238.166,-50.848,2.4,182.05,37,3.0,0.9,0.2,"1.72, PL",0.13,0.39625767,0.0,Swift BAT,
230123A,10:19:44,1150429,40.905,-65.661,1.8,5.37,2.7,0.4,1.1,0.2,"2.06, PL",0.24,0.26632604,0.0,Swift BAT,
230116D,21:04:43,1149293,98.584,49.831,2.9,41.00,8.12,1.2,0.6,0.2,"1.38, PL",0.22,0.588296,0.0,Swift BAT,
230116C,15:33:21,1149250,223.467,-16.883,1.4,316.77,61,5.0,0.8,0.3,"1.72, PL",0.14,0.39625767,0.0,Swift BAT,
221226B,22:41:20,1145959,22.903,-41.515,1.2,3.44,5.4,0.5,2.6,0.3,"1.16, PL",0.13,0.7587793,0.0,Swift BAT,
221216A,11:21:20,1144698,326.023,-34.394,1.3,174.48,46,3.0,1.8,0.2,"1.02, CPL",0.36,0.8917149,302.0,Swift BAT,
221202A,20:06:10,1142997,77.002,-59.836,2.1,10.34,3.2,0.6,0.7,0.2,"1.64, PL",0.25,0.4349564,0.0,Swift BAT,
221201A,12:25:05,1142847,266.903,-68.23,1.0,33.71,86,2.0,11.2,0.6,"1.63, PL",0.05,0.44004846,0.0,Swift BAT,
221120A,21:29:28,1141030,41.363,43.241,1.8,0.79,1.1,0.2,1.2,0.2,"0.85, PL",0.27,1.084249,0.0,Swift BAT,
221110A,02:28:17,1136936,29.106,-27.298,1.5,8.98,5.1,0.5,1.1,0.2,"1.41, PL",0.16,0.5681886,0.0,Swift BAT,
221028A,13:16:27,1131910,314.198,41.082,1.6,57.1,15.1,1.4,0.8,0.2,"1.367, PL",0.325,0.59722537,0.0,Swift BAT,
221027B,19:13:38,1131397,225.601,47.451,1.6,8.66,5.8,0.6,3.4,0.4,"2.39, PL",0.19,0.18075392,0.0,Swift BAT,
221024A,13:00:27,1131029,169.702,33.068,2.9,120,15,2.0,1.5,0.3,"1.39, PL",0.25,0.58151686,0.0,Swift BAT,
221016A,23:39:24,1129775,38.938,-34.615,1.0,21.86,23,1.0,3.4,0.3,"1.28, PL",0.08,0.6605173,0.0,Swift BAT,
221009A,14:10:17,1126853,288.254,19.809,2.4,1068.40,740,10.0,1.9,0.3,"2.08, PL",0.03,0.26015654,0.0,Swift BAT,
220930A,11:11:52,1125809,64.725,13.353,1.7,180.47,55,4.0,6.2,1.0,"1.59, PL",0.13,0.46101096,0.0,Swift BAT,
220907A,14:05:25,1123129,268.869,-20.303,1.9,8.49,4.1,0.6,1.0,0.2,"0.99, PL",0.24,0.92305446,0.0,Swift BAT,
220826A,11:55:21,1121751,206.421,-44.036,1.1,11.14,12,1.0,2.6,0.2,"1.44, PL",0.10,0.5487588,0.0,Swift BAT,
