Common_Key,fluence_channel_1,error_fluence_channel_1,fluence_channel_2,error_fluence_channel_2,fluence_channel_3,error_fluence_channel_3,fluence_channel_4,error_fluence_channel_4,epeak,epeak_error,alpha,alpha_error,beta,beta_error,amplitude,amplitude_error,peak_flux_64ms,error_peak_flux_64ms,time_peak_flux_64ms,peak_flux_256ms,error_peak_flux_256ms,time_peak_flux_256ms,peak_flux_1024ms,error_peak_flux_1024ms,time_peak_flux_1024ms,T50,T50 Uncertainty,T50 Start Time,T90,T90 Uncertainty,T90 Start Time
3267,2.2631e-07,2.0804e-08,3.8074e-07,2.2094e-08,1.0367e-06,6.1706e-08,6.8047e-07,5.8156e-07,174.1,43.9,-0.8555,0.449,-6.426,477.0,0.004743,0.00219,0.647,0.175,6.976,0.451,0.085,5.696,0.38,0.042,5.76,18.24,2.788,3.328,54.336,11.916,-2.288
3269,3.0462e-07,1.2263e-08,4.1968e-07,1.4415e-08,3.0032e-06,4.9591e-08,1.3523e-05,8.4022e-07,622.8,47.3,-0.5712,0.0476,-3.036,0.92,0.02041,0.000647,8.365,0.344,3.776,6.172,0.152,3.84,4.159,0.066,4.544,4.352,0.63,1.472,13.888,0.516,0.192
3276,8.1546e-08,2.068e-08,3.0433e-07,2.144e-08,6.2257e-07,5.5412e-08,1.768e-06,5.4489e-07,124.2,16.4,0.687,0.772,-2.552,0.295,0.04245,0.0392,1.424,0.194,0.0,1.267,0.096,0.128,0.994,0.047,0.576,6.176,3.083,-5.376,20.192,2.347,-11.52
3279,9.427e-07,4.1488e-08,8.5435e-07,3.4674e-08,1.1908e-06,9.0541e-08,0.0,8.2526e-07,86.93,4.79,-0.717,0.281,-3.512,0.962,0.02932,0.0109,1.282,0.189,0.768,1.165,0.093,0.896,1.008,0.046,0.96,27.008,0.32,0.256,41.056,1.954,-7.936
3280,2.1647e-08,5.8278e-09,2.359e-08,6.0561e-09,8.4655e-08,1.5269e-08,1.9299e-08,1.11e-07,177.2,81.1,-0.8333,0.773,-3.329,7.65,0.00259,0.00207,0.512,0.166,-0.512,0.389,0.08,-0.512,0.328,0.04,-0.064,1.344,0.202,-0.704,3.392,1.346,-1.088
3282,3.4415e-09,1.5911e-09,9.7276e-09,1.743e-09,4.8094e-08,4.8846e-09,9.472e-08,4.3037e-08,265.4,166.0,0.4874,2.13,-3.952,18.6,0.001368,0.00193,3.06,0.224,0.0,0.968,0.087,0.128,0.257,0.039,0.576,0.034,0.008,-0.05,0.078,0.014,-0.062
3283,3.3225e-07,1.4873e-08,4.5495e-07,1.4549e-08,1.0779e-06,3.7523e-08,1.3835e-06,4.02e-07,206.9,29.8,-0.6337,0.208,-2.38,0.307,0.01393,0.003,2.904,0.231,0.256,2.574,0.113,0.32,1.984,0.052,0.96,9.152,0.286,1.28,45.824,1.409,0.128
3284,1.4262e-08,1.062e-08,3.9291e-08,1.0714e-08,1.7544e-07,3.0463e-08,1.6146e-07,2.5538e-07,418.3,187.0,-0.2036,0.58,-5.78,243.0,0.00228,0.000836,1.192,0.209,-0.192,1.03,0.104,0.0,0.666,0.05,0.64,1.152,0.264,-0.192,5.056,1.18,-0.512
3286,0.0,1.6673e-08,5.4083e-09,9.234e-09,5.0701e-08,2.3679e-08,1.3418e-06,6.3622e-07,1042.0,6.14,-1.281,0.881,-4.77,3.28,0.0009824,0.000675,0.904,0.288,0.0,0.719,0.137,0.128,0.168,0.064,0.704,1.216,0.143,-1.088,2.368,0.58,-1.28
3287,2.0868e-06,3.7548e-08,2.2544e-06,2.8957e-08,6.8434e-06,7.0929e-08,1.0181e-05,6.918e-07,173.7,15.2,-1.168,0.0921,-2.265,0.0887,0.03454,0.00359,7.714,0.32,22.208,6.692,0.151,22.208,4.661,0.067,27.392,7.68,0.091,19.968,33.408,1.154,5.12
